username,userid,profile_location,created_at,text,retweet_count,source,coordinates
AsAmNews,241608523,San Francisco,1/22/2023 23:48,"Activists, celebrities and politicians across the country are offering their condolences after a shooting in Monter�?https://t.co/HbU1haZg9g",3,Twitter Web App,
Isabelle Hau,277728366,San Francisco,1/22/2023 23:44,Happy Lunar New Year. https://t.co/WXokDNmb9T,0,Twitter for iPhone,
Chase Center,4836530927,"San Francisco, CA",1/22/2023 23:44,We’ve got red envelopes for #DubNation at today’s Lunar New Year game 🧧 https://t.co/wMTDYiSOBp,5,Twitter for iPhone,
Colin Brauns,12889652,"Berkeley, CA, USA",1/22/2023 23:43,"Happy Lunar New Year to everyone who celebrates it. 

Because we keep doing the things the bad guy wanted to disrupt.",0,Twitter Web App,
Senator Scott Wiener,26703365,"San Francisco, California",1/22/2023 23:38,"Harvey’s is an iconic restaurant &amp; location in the Castro. As a 25 year resident of the neighborhood, I’m heartbrok�?https://t.co/NJnGPdjtih",3,Twitter for iPhone,
Steve Riley☮️,314668690,Near San Francisco California,1/22/2023 23:37,"@rosalindchao My heart goes out to the Asian American community.

Horrible tragedy.

Wishing all a safe, healthy, a�?https://t.co/ZLL0nekAzF",0,Twitter for iPhone,
Bay Area for Bernie,3214054423,"San Francisco, CA",1/22/2023 23:35,"What else is there to say? 

https://t.co/tcpIZAkOI0

#LunarNewYear #MontereyPark https://t.co/KSRRKqTMKV",1,Twitter for iPhone,
Sarah Fisher 🎬,754054087,"San Francisco, CA",1/22/2023 23:33,"Happy Lunar New Year! Year of the Black Rabbit. 🏮🐇🐰🏮

We can expect double good fortune this year.  

https://t.co/TfaIqGVgFk",0,Twitter for iPhone,
Kiavi,1965738690,"San Francisco, CA",1/22/2023 23:32,"Happy Lunar New Year! From everyone at Kiavi, we wish you a year full of longevity, peace and prosperity. https://t.co/cKgmlGdo0m",0,Sprout Social,
Tony Tran,35291893,"Oakland, CA",1/22/2023 23:31,Ringing in the lunar new year! Let’s go cowboys!! @ Levi's Stadium https://t.co/z8QZofBl4J,0,Instagram,
TFC News,55059357,"Daly City, CA",1/22/2023 23:30,"Ten dead in Lunar New Year shooting in California

https://t.co/s0uzXZTjqL",0,Twitter for iPhone,
Hüseyin Altan,9.30113E+17,"San Francisco, CA",1/22/2023 23:27,The New Year celebration for Chinese citizens started with chaos.  I wish racism to end. https://t.co/QYL705ybuF,0,Twitter for iPhone,
Ntrospec (in-troh-spek),1.49835E+18,"San Francisco, CA",1/22/2023 23:27,Happy Lunar New Year! 🐇 https://t.co/yIeeisKfQA,0,Twitter for iPhone,
